"Ingredient ID",4513,11215,11283,11510,11125,16359,12116,9322,11303,11530,11282,11165,9152,28306,1001
"Ingredient Description","Vegetable oil, palm kernel","Garlic, raw","Onions, cooked, boiled, drained, without salt","Sweet potato, cooked, boiled, without skin","Carrots, cooked, boiled, drained, without salt","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water","Nuts, coconut cream, canned, sweetened","Tamarinds, raw","Peas, edible-podded, frozen, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked","Onions, raw","Coriander (cilantro) leaves, raw","Lemon juice, raw","Bread, chapati or roti, plain, commercially prepared","Butter, salted"
"Portion size","cup","clove","medium","medium","carrot","100g","cup","cup, pulp","cup","medium","medium (2-1/2"" dia)","cup","lemon yields","piece","tbsp"
"Phytosterols",51.775,0,16.92,0,0,0,0,0,0,22.14,16.5,0.1,0,0,0,107.43499999999999
"Stigmasterol",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.0,0.06
"20:0",0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.07343999999999999,0.039192,0.11263199999999998
"20:1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11424000000000001,0.028399999999999998,0.14264000000000002
"Fatty acids, total polyunsaturated",0.872,0.01494,0.06861999999999999,0.18422,0.08188,3.8480000000000003,0.7957115845295999,0.0014749976399999999,0.13360000000000002,0.10824,0.0187,0.0008,0.01008,4.67976,0.864212,11.682238582169601
"6:0",0.109,0.0,0.0,0.0,0.0,0.0,0.4103669807008001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569988,1.0893549807008003
"Tocotrienol, alpha",0,0,0,0.0,0.046000000000000006,0,0,0,0,0.0,0.044000000000000004,0,0,1.9584000000000001,0.0,2.0484
"12:0",25.615,0.0,0.0,0.0,0.0,0.0,42.2477811106848,0.0,0.0,0.0,0.0,0.0,0.00048,0.0408,0.7347079999999999,68.63876911068479
"18:4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"24:1 c",0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0
"Iron, Fe",0.0,0.102,0.2256,2.1744,0.3128,3.92,0.650581798672,0.069999888,1.92,1.6728,0.23099999999999998,0.0354,0.0384,12.2808,0.005679999999999999,23.639461686672
"Tocotrienol, beta",0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.6904,0.0,8.6904
"Proline",0.0,0.006000000000000001,0.03948,0.13892,0.04048,1.168,0.24021481797120003,0,0.062400000000000004,0.0492,0.0132,0,0,0,0.023288000000000003,1.7811828179712
"Calcium, Ca",0.0,10.86,20.68,81.54,27.6,172.0,20.0179014976,1.84999704,47.2,27.06,25.3,1.34,2.88,379.44,6.815999999999999,824.5838985376
"24:0",0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.024480000000000005,0,0.024480000000000005
"Tocopherol, delta",0,0,0.0,0.0,0.0,0,0,0,0,0.0246,0.0,0,0,0.40800000000000003,0.0,0.43260000000000004
"18:2 undifferentiated",0.872,0.01374,0.06580000000000001,0.18422,0.08004,3.708,0.7957115845295999,0.0014749976399999999,0.11359999999999999,0.10332000000000001,0.0143,0.0008,0.00576,4.133039999999999,0.774752,10.8665585821696
"Starch",0,0,0,15.764399999999998,0.1564,0,0,0,0,0,0.0,0,0.0,154.02,0,169.9408
"Fiber, total dietary",0.0,0.126,1.3159999999999998,7.55,2.76,25.2,1.00089507488,0.127499796,2.48,1.722,1.87,0.055999999999999994,0.144,19.992,0.0,64.34439487088
"Fatty acids, total monounsaturated",6.213000000000001,0.00066,0.02538,0.0,0.005520000000000001,1.94,3.3980387792176003,0.00452499276,0.031200000000000002,0.03936,0.0143,0.0055000000000000005,0.00288,7.72344,5.969964,25.3737677719776
"Beta-sitosterol",0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1.136,1.176
"22:0",0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.03264,0,0.03264
"Copper, Cu",0.0,0.01794,0.06298,0.28388,0.01564,1.0,1.1810561883584,0.00214999656,0.072,0.1845,0.0429,0.0045000000000000005,0.00768,1.02816,0.0,3.9033861849184
"Ash",0.0,0.09,0.41359999999999997,1.9025999999999998,0.6164000000000001,2.96,1.701521627296,0.067499892,0.4,1.476,0.385,0.0294,0.1008,7.9152,0.5992399999999999,18.657261519295997
"Dihydrophylloquinone",0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0
"Galactose",0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0
"Zinc, Zn",0.0,0.0696,0.1974,0.6040000000000001,0.18400000000000002,2.36,3.00268522464,0.002499996,0.392,0.34440000000000004,0.18700000000000003,0.01,0.024000000000000004,6.4056,0.025559999999999996,13.80874522064
"20:4 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20:3 undifferentiated",0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0
"Carotene, alpha",0.0,0.0,0.0,0.0,3473.92,0.0,0.0,0.0,42.4,0.0,0.0,0.72,0.0,0,0.0,3517.04
"18:1 undifferentiated",6.213000000000001,0.00066,0.02538,0.0,0.0046,1.9240000000000002,3.3980387792176003,0.00452499276,0.031200000000000002,0.03936,0.0143,0.0054600000000000004,0.00192,7.56432,5.668924,24.895687771977602
"Glycine",0.0,0.012000000000000002,0.05358,0.1661,0.03496,1.18,0.28025062096639997,0,0.072,0.06396,0.0275,0,0,0,0.005112,1.8954626209664
"Fatty acids, total saturated",44.4175,0.00534,0.029140000000000003,0.09362,0.0276,0.852,77.4292429927168,0.006799989120000001,0.0584,0.0369,0.0462,0.00028000000000000003,0.0192,7.96824,14.588512000000001,145.5789749818368
"Tocotrienol, delta",0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,1.3056,0.0,1.3056
"Total lipid (fat)",54.5,0.03,0.17859999999999998,0.4228,0.1656,9.88,81.622993356464,0.014999976,0.304,0.2706,0.11,0.0104,0.1152,30.396000000000004,23.035239999999998,201.05643333246402
"22:5 n-3 (DPA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin K (phylloquinone)",13.4615,0.102,0.47,6.3420000000000005,12.604,13.6,0.50044753744,0.069999888,24.16,6.888,0.44,6.2,0.0,0,1.9879999999999998,86.82594742544
"18:2 i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084064,0.084064
